OBJECTID,STREAM_NM,GNIS_ID,GlobalID,SHAPE_Length
1,Bean Creek,00218782,{41CC57B6-75D9-4772-8E0D-11CAFCD12846},0.144919575600351
2,Branciforte Creek,00219771,{AA87D855-49C6-4E5B-B0EE-9240DE41ACE8},0.113129383899005
3,Browns Creek, ,{A2030483-6B6B-4799-B4EC-733383CDA876},0.0829780603384292
4,Carbonera Creek, ,{23A7551E-24C1-4586-A0D0-A5CD0E99472E},0.142974282991385
5,Fall Creek,00223367,{2EBBD385-2E29-4001-8350-352541AD6525},0.0826389618712359
6,Lompico Creek,00227502,{ADB2E109-D7AC-4C80-B134-D469933D8914},0.0683139068328346
7,Newell Creek,00229513,{2013A277-B57D-4617-A2CA-42AC2F79D9E2},0.11901304351361
8,Valencia Creek,00236950,{62EC6053-0F19-4FD4-B9C3-3015A88EE95A},0.101463017011385
9,West Soquel Creek, ,{F44FAC3E-98A6-48C5-9184-E25C1A7E5BB0},0.0966651075777701
10,Zayante Creek,00238308,{B32F80FD-951C-4DE4-9821-5D0624D82CAC},0.163304463391996
11,Shingle Mill Gulch, ,{B6704B4F-3FC9-4E85-A438-434D4FD1AF31},0.0183800433588607
13,Bear Creek,00218798,{DA2FCA71-FD1E-46A1-97DF-9181EF20CFFD},0.143886931081132
14,Kings Creek,00226601,{9690C77B-02E6-4041-AF14-40EE83A4D0D8},0.10103781248931
15,San Lorenzo River,00248894,{B801E4E7-FA9C-4195-999F-45A13407F00A},0.461506648691924
16,Corralitos Creek,00221595,{E20A693F-F212-4D76-9511-1494DF0BB747},0.20098409720799
17,Salsipuedes Creek,00234611,{EBD33B75-3229-4643-9DAA-6FF0744A0DD8},0.0536339295150187
18,Casserly Creek, ,{C6C91D3C-5BF3-40C1-84BD-2555842910E2},0.0500624690636322
19,Green Valley Creek, ,{0579A16A-9779-40A7-BE47-B3A83DA9013B},0.030452757282759
20,Aptos Creek,00254571,{8FB74FE7-DA56-4C62-8456-EA8F43402240},0.140469616273099
21,East Soquel Creek,00253912,{D066E804-437D-4D5F-99CC-0B4823FD42C8},0.136525361309696
23,Pajaro River,00230242,{913941E6-8B1A-4152-9443-171C0A5270A4},0.102635294479886
24,Soquel Creek,00253912,{97705E40-9C6B-4DD1-836E-872344D231E3},0.111616789781735
28,Boulder Creek,00219687,{4F01DAB7-9100-43D7-92A9-24B011CAE0DC},0.127923055615268
